Actual Species,Predicted Cluster
Iris-setosa,1
Iris-setosa,2
Iris-setosa,2
Iris-setosa,2
Iris-setosa,1
Iris-setosa,1
Iris-setosa,1
Iris-setosa,1
Iris-setosa,2
Iris-setosa,2
Iris-setosa,1
Iris-setosa,1
Iris-setosa,2
Iris-setosa,2
Iris-setosa,1
Iris-setosa,1
Iris-setosa,1
Iris-setosa,1
Iris-setosa,1
Iris-setosa,1
Iris-setosa,1
Iris-setosa,1
Iris-setosa,1
Iris-setosa,1
Iris-setosa,1
Iris-setosa,2
Iris-setosa,1
Iris-setosa,1
Iris-setosa,1
Iris-setosa,2
Iris-setosa,2
Iris-setosa,1
Iris-setosa,1
Iris-setosa,1
Iris-setosa,2
Iris-setosa,2
Iris-setosa,1
Iris-setosa,2
Iris-setosa,2
Iris-setosa,1
Iris-setosa,1
Iris-setosa,2
Iris-setosa,2
Iris-setosa,1
Iris-setosa,1
Iris-setosa,2
Iris-setosa,1
Iris-setosa,2
Iris-setosa,1
Iris-setosa,1
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,2
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,2
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,2
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,0
Iris-versicolor,2
Iris-versicolor,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
Iris-virginica,0
